Date,Matched Keywords,User,Source,Followers,Friends,Favorite,Tweet,predTweet,CleanedTweet
8/5/2020,Trump,ForOurFuturePA,Hootsuite Inc.,788,532,0,"Why are Trump and the rest of the OP so against #votingbymail, when they have done and promoted it in the past? Make sure to get your mail-in ballot today: http://t.co/qpnGGPiV0e http://t.co/fWZCbq4TX",why are trump and the rest of the gop so against votingbymail when they have done and promoted it in the past make sure get your mailin ballot today,"['trump', 'rest', 'votingbymail', 'done', 'promot', 'past', 'make', 'sure', 'maslin', 'ballot', 'today']"
8/5/2020,Trump,DachkoMargaret,Twitter for Android,93,6,1,@realDonaldTrump Ironic that the grossly overpriced private school that Baron Trump attends WILL NOT be open for in-class lessons until NOVEMBER at the earliest! Demand hard working public school parents to send their children though? Justify this!,ironic that the grossly overpriced private school that barron trump attends will not be open for inclass lessons until november the earliest demand hard working public school parents send their children though justify this,"['iron', 'grossli', 'overpr', 'privat', 'school', 'baron', 'trump', 'attend', 'open', 'inula', 'lesson', 'novemb', 'earliest', 'demand', 'hard', 'work', 'public', 'school', 'parent', 'send', 'child', 'though', 'justifi']"
8/5/2020,Trump,Farbeka,Twitter Web App,1340,1334,0,"So. . .
Liberty University President & “loyal” Trump Supporter, Jerry Falwell, Jr.,

was literally “caught with his zipper down” as was the young woman in the photo with him. (Now deleted.)

I have to ask,
In EVERY FRIEND Of TRUMP A ERV?

#Trump wishes him well
#TrumpIsASnake http://t.co/qNvNVIatdx http://t.co/Fed1M1by5N",so liberty university president and loyal trump supporter jerry falwell jr was literally caught with his zipper down as was the young woman in the photo with him now deleted have ask every friend of trump perv trump wishes him well trumpisasnake,"['liberti', 'univers', 'presid', 'loyal', 'trump', 'support', 'jerri', 'falwel', 'liter', 'caught', 'zipper', 'young', 'woman', 'photo', 'delet', 'everi', 'friend', 'trump', 'perv', 'trump', 'wish', 'well', 'trumpisasnak']"
8/5/2020,Trump,cubstroII,Twitter for iPhone,358,296,1,@bIackairforce cotton trump ‘24 baby,cotton trump baby,"['cotton', 'trump', 'babi']"
8/5/2020,Trump,rose48809,Twitter Web App,1388,1361,0,Seen Lady G trending & thought trump spilled the beans. 😂🤣😂🤣 Careful #GOPComplicitTraitors when Dear Leader loses he's going to spill everything he's holding over your heads. He'll spill it for revenge & attention. 😂🤣😂🤣,seen lady g trending and thought trump spilled the beans careful gopcomplicittraitors when dear leader loses he going spill everything he holding over your heads he will spill it for revenge and attention,"['seen', 'ladi', 'trend', 'thought', 'trump', 'spill', 'bean', 'care', 'gopcomplicitraitor', 'dear', 'leader', 'lose', 'go', 'spill', 'everyth', 'hold', 'head', 'spill', 'reveng', 'attent']"
8/5/2020,Biden,shijie808,Twitter for Android,299,262,1,"Indeed, Bien cannot handle anything. Obama asked him to handle Ukraine, end up his son made a lot of money from an Ukrainian energy company. Bien handled China, end up his son became a share holder of a Chinese government influenced company. http://t.co/ykwk1J6Tpk",indeed biden cannot handle anything obama asked him handle ukraine end up his son made lot of money from an ukrainian energy company biden handled china end up his son became share holder of chinese government influenced company,"['inde', 'bien', 'handl', 'anyth', 'obama', 'ask', 'handl', 'ukrain', 'made', 'money', 'ukrainian', 'energi', 'compani', 'bien', 'handl', 'china', 'becam', 'share', 'holder', 'chines', 'govern', 'influenc', 'compani']"
8/5/2020,Biden,moliveri,Twitter Web App,647,641,0,Bien confidants reportedly see Vs list narrowed down to 2 http://t.co/r3duqDugzb #FoxNews,biden confidants reportedly see vp list narrowed down foxnews,"['bien', 'confid', 'reportedli', 'list', 'narrow', 'foxnew']"
8/5/2020,Biden,OurCommune,IFTTT,201,4,3,"If you claim to be a “socialist” or a “communist” and support gun bans, you are just a liberal who enables the likes of Bien and Clinton http://t.co/JBRW9B2Pa",if you claim be socialist or communist and support gun bans you are just liberal who enables the likes of biden and clinton,"['claim', 'socialist', 'communist', 'support', 'ban', 'liber', 'enabl', 'like', 'bien', 'clinton']"
8/5/2020,Trump,ForeignPolicy,Buffer,1132725,660,5,"Fortunately for supporters of aggressive climate action, Trump has demonstrated a highly effective way to circumvent the legislative process, @petereharrell writes.
http://t.co/xt8Pkt4do",fortunately for supporters of aggressive climate action trump has demonstrated highly effective way circumvent the legislative process writes,"['fortun', 'support', 'aggress', 'climat', 'action', 'trump', 'demonstr', 'highli', 'effect', 'circumv', 'legisl', 'process', 'write']"
8/5/2020,Trump,Fried_Trout2,Twitter for iPhone,356,313,0,Trump said rating are WAY down for the NBA due to anthem protest but they are up 14%. 😂,trump said rating are way down for the nba due anthem protest but they are up,"['trump', 'said', 'rate', 'anthem', 'protest']"
8/5/2020,Trump,PadresOnABagel,Twitter for iPhone,830,154,1,People (Trump Supporters) are committing fraud to get Kane on the ballot. http://t.co/do7bNtZvNg,people trump supporters are committing fraud get kanye the ballot,"['peopl', 'trump', 'support', 'commit', 'fraud', 'kane', 'ballot']"
8/5/2020,Trump,SincerelySapphi,Twitter for Android,10,35,1,@ToddBurgun Isn't it interesting how all these disasters (including Ovid-19 ( all started not long after Trump unveiled his middle East peace plan?  The Lord will punish anyone trying to divide Jerusalem.,not it interesting how all these disasters including covid all started not long after trump unveiled his middle east peace plan the lord will punish anyone trying divide jerusalem,"['interest', 'disast', 'includ', 'covid', 'start', 'long', 'trump', 'unveil', 'middl', 'east', 'peac', 'plan', 'lord', 'punish', 'anyon', 'tri', 'divid', 'jerusalem']"
8/5/2020,Trump,LyndaObst,Twitter Web App,15911,3472,12,@Bencjacobs BECAUSE In'S A TALKING HORSE OR TRUMP AND He'S A DPE AND A GREAT MUSICIAN WHO COULD LSE Up A KY SWING STATE. SHEESH,because its stalking horse for trump and hes dope and great musician who could lose key swing state sheesh,"['stalk', 'hors', 'trump', 'dope', 'great', 'musician', 'could', 'lose', 'swing', 'state', 'shush']"
